GSE,Sample_accesion,SRR_playwright
"GSE195452","GSM5837315","SRR17762906"
"GSE195452","GSM5837317","SRR17762908"
"GSE195452","GSM5837313","SRR17762904"
"GSE195452","GSM5837391","SRR17763432"
"GSE195452","GSM5837392","SRR17763433"
"GSE195452","GSM5837393","SRR17763434"
"GSE195452","GSM5837346","SRR17762937"
"GSE195452","GSM5837349","SRR17762940"
"GSE195452","GSM5837359","SRR17763397"
"GSE195452","GSM5837370","SRR17763411"
"GSE195452","GSM5837371","SRR17763412"
"GSE195452","GSM5837443","SRR17763484"
"GSE195452","GSM5837444","SRR17763485"
"GSE195452","GSM5837479","SRR17763136"
"GSE195452","GSM5837482","SRR17763139"
"GSE195452","GSM5837510","SRR17763167"
"GSE195452","GSM5837483","SRR17763140"
"GSE195452","GSM5837513","SRR17763170"
"GSE195452","GSM5837481","SRR17763138"
"GSE195452","GSM5837512","SRR17763169"
"GSE195452","GSM5837152","SRR17763085"
"GSE195452","GSM5837549","SRR17763302"
"GSE195452","GSM5837573","SRR17763326"
"GSE195452","GSM5837582","SRR17763335"
"GSE195452","GSM5837154","SRR17763087"
"GSE195452","GSM5837567","SRR17763320"
"GSE195452","GSM5837574","SRR17763327"
"GSE195452","GSM5837589","SRR17763342"
"GSE195452","GSM5837595","SRR17763348"
"GSE195452","GSM5837590","SRR17763343"
"GSE195452","GSM5837597","SRR17763350"
"GSE195452","GSM5837600","SRR17763353"
"GSE195452","GSM5837603","SRR17763356"
"GSE195452","GSM5837610","SRR17763363"
"GSE195452","GSM5837615","SRR17763368"
"GSE195452","GSM5837612","SRR17763365"
"GSE195452","GSM5837617","SRR17763370"
"GSE195452","GSM5837626","SRR17763379"
"GSE195452","GSM5837627","SRR17763380"
"GSE195452","GSM5837633","SRR17763386"
"GSE195452","GSM5837648","SRR17762954"
"GSE195452","GSM5837649","SRR17762955"
"GSE195452","GSM5837656","SRR17762962"
"GSE195452","GSM5837657","SRR17762963"
"GSE195452","GSM5837658","SRR17762964"
"GSE195452","GSM5837672","SRR17762978"
"GSE195452","GSM5837681","SRR17762987"
"GSE195452","GSM5837680","SRR17762986"
"GSE195452","GSM5837679","SRR17762985"
"GSE195452","GSM5837686","SRR17762992"
"GSE195452","GSM5837696","SRR17763002"
"GSE195452","GSM5837692","SRR17762998"
"GSE195452","GSM5837690","SRR17762996"
"GSE195452","GSM5837695","SRR17763001"
"GSE195452","GSM5837694","SRR17763000"
"GSE195452","GSM5837693","SRR17762999"
"GSE195452","GSM5836979","SRR17762753"
"GSE195452","GSM5836989","SRR17762763"
"GSE195452","GSM5837054","SRR17762828"
"GSE195452","GSM5836981","SRR17762755"
"GSE195452","GSM5837014","SRR17762788"
"GSE195452","GSM5837040","SRR17762814"
"GSE195452","GSM5836983","SRR17762757"
"GSE195452","GSM5836984","SRR17762758"
"GSE195452","GSM5836991","SRR17762765"
"GSE195452","GSM5837070","SRR17762844"
"GSE195452","GSM5837079","SRR17763012"
"GSE195452","GSM5837103","SRR17763036"
"GSE195452","GSM5837113","SRR17763046"
"GSE195452","GSM5837114","SRR17763047"
"GSE195452","GSM5837115","SRR17763048"
"GSE195452","GSM5837261","SRR17762852"
"GSE195452","GSM5837264","SRR17762855"
"GSE195452","GSM5837217","SRR17763255"
"GSE195452","GSM5837215","SRR17763253"
"GSE195452","GSM5837229","SRR17763267"
"GSE195452","GSM5837242","SRR17763280"
"GSE195452","GSM5837267","SRR17762858"
"GSE195452","GSM5837266","SRR17762857"
"GSE195452","GSM5837271","SRR17762862"
"GSE195452","GSM5837272","SRR17762863"
"GSE195452","GSM5837276","SRR17762867"
"GSE195452","GSM5837274","SRR17762865"
"GSE195452","GSM5837584","SRR17763337"
"GSE195452","GSM5837596","SRR17763349"
"GSE195452","GSM5837330","SRR17762921"
"GSE195452","GSM5837332","SRR17762923"
"GSE195452","GSM5837329","SRR17762920"
